Id,Time,ADMM_IT,X_real,X_imag,Nu_real,Nu_imag,Z_real,Z_imag,P,Q
3,1503579073.963,1.0000,0.7860,0.7696,129.0964,-55.0612,0.2696,0.9898,0.0000,0.5386
3,1503579074.469,2.0000,0.0934,1.0114,30.7621,-19.2947,0.4868,0.8683,10.0000,4.8081
3,1503579075.103,3.0000,0.8406,0.3214,113.4532,-128.8616,0.5099,0.7597,10.0000,1.2024
3,1503579075.778,4.0000,0.5354,0.7234,61.1495,-72.3057,0.7446,0.4972,10.0000,9.2694
3,1503579076.392,5.0000,0.8860,0.1579,45.1417,-50.5016,0.9501,0.0707,10.0000,-0.9456
3,1503579076.966,6.0000,0.8920,-0.1194,11.0482,-69.4265,1.0284,-0.0437,10.0000,-3.7632
3,1503579077.479,7.0000,0.8925,-0.1157,-21.2875,-61.2933,1.0219,-0.1483,10.0000,-5.4232
3,1503579077.926,8.0000,1.0136,-0.0918,-30.4728,-33.1743,1.0503,-0.2042,10.0000,-2.8482
3,1503579078.491,9.0000,1.0767,-0.2253,-27.3840,-22.8800,1.0643,-0.2665,1.0774,3.1565
3,1503579079.059,10.0000,1.0803,-0.2074,-21.3568,-2.4761,1.0562,-0.2890,0.0000,7.1286
3,1503579079.548,11.0000,1.0786,-0.2160,-15.7928,15.6121,1.0563,-0.2884,0.0000,8.7364
3,1503579080.029,12.0000,1.0774,-0.2217,-9.1563,28.6481,1.0509,-0.2739,0.0000,9.2779
3,1503579080.528,13.0000,1.0812,-0.2027,-0.5189,38.3830,1.0466,-0.2417,0.0000,7.6943
3,1503579080.902,14.0000,1.0884,-0.1595,7.4393,45.0216,1.0565,-0.1860,0.0000,4.9025
3,1503579081.348,15.0000,1.0956,-0.0985,12.4804,47.2688,1.0754,-0.1075,0.0000,2.3670
3,1503579081.757,16.0000,1.0827,-0.0895,12.2408,37.8689,1.0837,-0.0519,0.0000,1.8808
3,1503579082.14,17.0000,1.0694,-0.0672,10.7488,25.6136,1.0754,-0.0182,0.0000,1.8497
3,1503579082.474,18.0000,1.0505,-0.0407,8.5774,14.5957,1.0592,0.0034,0.0000,1.3178
3,1503579082.85,19.0000,1.0321,-0.0181,4.6441,5.9203,1.0479,0.0166,0.0000,-0.3845
3,1503579083.229,20.0000,1.0303,-0.0013,2.1099,-0.4315,1.0404,0.0241,0.0000,-1.3837
3,1503579083.585,21.0000,1.0296,0.0112,-0.6975,-4.8828,1.0408,0.0290,0.0000,-1.4797
3,1503579083.907,22.0000,1.0389,0.0188,-3.2113,-8.3437,1.0489,0.0326,0.0000,-0.5679
3,1503579084.26,23.0000,1.0520,0.0096,-4.9293,-12.6696,1.0588,0.0269,0.0000,0.6979
3,1503579084.629,24.0000,1.0625,-0.0052,-5.6961,-16.9974,1.0656,0.0121,0.0000,1.8894
3,1503579084.95,25.0000,1.0664,-0.0225,-5.7186,-20.7312,1.0665,-0.0076,0.0000,2.5496
3,1503579085.378,26.0000,1.0632,-0.0385,-5.4145,-23.5820,1.0620,-0.0271,0.0000,2.5345
3,1503579085.739,27.0000,1.0558,-0.0496,-5.1688,-25.4459,1.0548,-0.0422,0.0000,2.0317
3,1503579086.128,28.0000,1.0482,-0.0542,-5.2042,-26.5004,1.0483,-0.0500,0.0000,1.3801
3,1503579086.41,29.0000,1.0434,-0.0525,-5.5682,-27.2127,1.0449,-0.0497,0.0000,0.8677
3,1503579086.762,30.0000,1.0430,-0.0461,-6.1848,-28.1740,1.0455,-0.0423,0.0000,0.6365
3,1503579087.121,31.0000,1.0459,-0.0391,-6.9999,-30.0673,1.0492,-0.0315,0.0000,0.6697
3,1503579087.438,32.0000,1.0486,-0.0393,-8.1051,-33.5599,1.0530,-0.0253,0.0000,0.8264
3,1503579087.757,33.0000,1.0523,-0.0391,-9.0915,-37.3766,1.0562,-0.0239,0.0000,1.0617
3,1503579088.063,34.0000,1.0554,-0.0396,-9.9081,-41.0024,1.0586,-0.0251,0.0000,1.2579
3,1503579088.437,35.0000,1.0588,-0.0299,-10.5192,-42.4388,1.0613,-0.0242,0.7861,1.3647
3,1503579088.75,36.0000,1.0624,-0.0235,-11.4609,-42.9146,1.0661,-0.0216,1.4394,1.5019
3,1503579089.046,37.0000,1.0694,-0.0184,-12.4798,-42.8683,1.0734,-0.0186,2.0425,2.0108
3,1503579089.397,38.0000,1.0792,-0.0143,-13.1724,-42.5232,1.0819,-0.0157,2.5854,2.8295
3,1503579089.749,39.0000,1.0891,-0.0113,-13.3323,-42.0851,1.0897,-0.0131,3.0194,3.7144
3,1503579090.088,40.0000,1.0965,-0.0093,-13.0065,-41.6804,1.0952,-0.0109,3.3186,4.4188
3,1503579090.482,41.0000,1.1000,-0.0080,-12.4287,-41.3622,1.0977,-0.0093,3.4704,4.7929
3,1503579090.962,42.0000,1.1000,-0.0075,-11.7306,-41.1443,1.0972,-0.0083,3.4852,4.8510
3,1503579091.328,43.0000,1.0976,-0.0076,-10.9808,-41.0255,1.0946,-0.0081,3.3906,4.6744
3,1503579091.664,44.0000,1.0926,-0.0083,-10.4359,-40.9983,1.0904,-0.0084,3.2155,4.2994
3,1503579092.039,45.0000,1.0870,-0.0093,-10.0790,-41.0479,1.0856,-0.0091,3.0057,3.8585
3,1503579092.371,46.0000,1.0814,-0.0105,-9.9201,-41.1500,1.0808,-0.0101,2.8000,3.4204
3,1503579092.692,47.0000,1.0766,-0.0115,-9.9419,-41.2762,1.0767,-0.0110,2.6266,3.0453
3,1503579093.022,48.0000,1.0730,-0.0124,-10.1068,-41.3994,1.0737,-0.0119,2.5026,2.7726
3,1503579093.372,49.0000,1.0709,-0.0129,-10.3645,-41.4994,1.0719,-0.0125,2.4343,2.6209
3,1503579093.73,50.0000,1.0702,-0.0131,-10.6599,-41.5645,1.0714,-0.0128,2.4194,2.5893
