Id,Time,ADMM_IT,X_real,X_imag,Nu_real,Nu_imag,Z_real,Z_imag,P,Q
3,1503578626.376,1.0000,0.7860,0.7696,2.5870,-2.5898,0.7756,0.7799,-0.0000,0.5386
3,1503578629.501,2.0000,0.8063,0.6141,5.7176,-22.4569,0.7938,0.6936,10.0000,3.2736
3,1503578636.072,3.0000,0.8067,0.3991,5.4241,-53.5331,0.8079,0.5234,10.0000,0.2579
3,1503578643.054,4.0000,0.8627,0.2563,6.7883,-71.7037,0.8573,0.3290,10.0000,-1.3539
3,1503578643.294,5.0000,0.8879,0.1474,6.3445,-74.0550,0.8896,0.1568,10.0000,-2.1292
3,1503578643.706,6.0000,0.8970,0.0733,3.8379,-62.1377,0.9070,0.0256,10.0000,-2.3540
3,1503578644.213,7.0000,0.8992,0.0379,1.3050,-38.2045,0.9093,-0.0578,10.0000,-2.5500
3,1503578654.5,8.0000,0.8977,-0.0641,0.3268,-23.0323,0.9016,-0.1248,4.2166,-2.2030
3,1503578654.918,9.0000,0.8918,-0.1212,-0.8084,-10.7421,0.8963,-0.1704,0.0000,-1.2798
3,1503578655.4,10.0000,0.9017,-0.1205,-0.6689,4.9316,0.9012,-0.1832,0.0000,-0.5236
3,1503578656.003,11.0000,0.9275,-0.1317,2.4160,16.1604,0.9151,-0.1767,-0.0000,1.1407
3,1503578656.438,12.0000,0.9430,-0.1285,5.4776,22.9707,0.9308,-0.1557,0.0000,2.3117
3,1503578656.838,13.0000,0.9520,-0.1089,7.6055,26.0915,0.9435,-0.1213,0.0000,2.5714
3,1503578657.359,14.0000,0.9538,-0.0766,8.0468,25.8921,0.9520,-0.0758,0.0000,2.3454
3,1503578657.923,15.0000,0.9507,-0.0505,7.0366,21.4401,0.9547,-0.0327,-0.0000,1.5430
3,1503578658.476,16.0000,0.9455,-0.0295,5.0892,14.1247,0.9532,-0.0003,0.0000,0.7337
3,1503578658.97,17.0000,0.9416,-0.0105,2.8683,5.9752,0.9505,0.0221,0.0000,0.0685
3,1503578659.481,18.0000,0.9402,0.0051,0.7417,-2.0318,0.9487,0.0371,0.0000,-0.3547
3,1503578659.96,19.0000,0.9413,0.0170,-1.1616,-9.5174,0.9489,0.0469,0.0000,-0.5302
3,1503578660.475,20.0000,0.9449,0.0256,-2.8129,-16.3658,0.9515,0.0530,-0.0000,-0.4800
3,1503578660.856,21.0000,0.9504,0.0314,-4.2098,-22.6071,0.9560,0.0563,0.0000,-0.2482
3,1503578661.324,22.0000,0.9567,0.0328,-5.4161,-28.5550,0.9615,0.0566,0.0000,0.0935
3,1503578661.789,23.0000,0.9615,0.0267,-6.5934,-34.6284,0.9662,0.0510,-0.0000,0.4361
3,1503578662.362,24.0000,0.9656,0.0314,-7.5888,-37.9510,0.9696,0.0447,0.9054,0.6920
3,1503578662.973,25.0000,0.9691,0.0382,-8.1880,-38.6459,0.9715,0.0410,2.0673,0.8756
3,1503578663.59,26.0000,0.9714,0.0373,-8.4311,-39.0157,0.9724,0.0388,2.5242,0.9715
