Id,Time,ADMM_IT,X_real,X_imag,Nu_real,Nu_imag,Z_real,Z_imag,P,Q
1,1503577261.469,1.0000,0.0440,1.0730,-121.7041,48.5969,0.5308,0.8786,-0.0000,-0.0000
1,1503577261.898,2.0000,0.6899,0.7890,-33.3413,13.5937,0.3364,0.9290,-0.0000,0.0000
1,1503577262.261,3.0000,0.4759,0.8685,-3.0963,1.4516,0.3550,0.9170,0.0000,-0.0000
1,1503577262.616,4.0000,0.4133,0.9070,4.3393,1.6601,0.3836,0.9062,-0.0000,0.0000
1,1503577262.951,5.0000,0.4027,0.9102,6.8435,1.2267,0.3927,0.9120,0.0000,0.0000
1,1503577263.319,6.0000,0.4057,0.9043,9.5332,-2.4600,0.3949,0.9191,-0.0000,-0.0000
1,1503577263.689,7.0000,0.4079,0.9020,12.4961,-7.2980,0.3960,0.9214,-0.0000,0.0000
1,1503577264.035,8.0000,0.4090,0.9028,15.6870,-11.6417,0.3962,0.9202,0.0000,-0.0000
1,1503577264.388,9.0000,0.4102,0.9044,19.2963,-15.0159,0.3957,0.9179,-0.0000,0.0000
1,1503577264.749,10.0000,0.4112,0.9059,23.3156,-17.6003,0.3951,0.9163,0.0000,0.0000
1,1503577265.084,11.0000,0.4118,0.9073,27.5405,-19.7920,0.3949,0.9161,0.0000,0.0000
1,1503577265.421,12.0000,0.4119,0.9086,31.7668,-21.9560,0.3950,0.9172,0.0000,0.0000
1,1503577265.782,13.0000,0.4119,0.9099,35.9004,-24.3075,0.3954,0.9193,-0.0000,-0.0000
1,1503577266.155,14.0000,0.4121,0.9115,39.5275,-26.4836,0.3976,0.9202,-0.0000,-0.0000
1,1503577266.482,15.0000,0.4113,0.9136,41.6012,-27.5710,0.4030,0.9180,0.0000,0.0000
1,1503577266.89,16.0000,0.4089,0.9155,41.7956,-27.4901,0.4081,0.9152,-0.0000,0.0000
1,1503577267.261,17.0000,0.4075,0.9161,40.9102,-26.8371,0.4110,0.9134,-0.0000,0.0000
1,1503577267.602,18.0000,0.4073,0.9156,39.8148,-26.1782,0.4117,0.9129,0.0000,0.0000
1,1503577267.957,19.0000,0.4079,0.9148,39.0542,-25.8111,0.4110,0.9133,0.0000,-0.0000
1,1503577268.299,20.0000,0.4087,0.9142,38.7753,-25.7626,0.4098,0.9140,0.0000,0.0000
1,1503577268.628,21.0000,0.4093,0.9139,38.8539,-25.9045,0.4090,0.9145,0.0000,-0.0000
1,1503577268.968,22.0000,0.4095,0.9139,39.0758,-26.0828,0.4087,0.9146,0.0000,-0.0000
1,1503577269.308,23.0000,0.4095,0.9141,39.2710,-26.1973,0.4087,0.9146,-0.0000,0.0000
1,1503577269.634,24.0000,0.4092,0.9143,39.3656,-26.2215,0.4088,0.9144,0.0000,0.0000
1,1503577269.974,25.0000,0.4090,0.9145,39.3685,-26.1808,0.4090,0.9143,0.0000,-0.0000
1,1503577270.326,26.0000,0.4088,0.9146,39.3278,-26.1190,0.4090,0.9143,-0.0000,-0.0000
1,1503577270.694,27.0000,0.4088,0.9146,39.2903,-26.0708,0.4089,0.9144,0.0000,-0.0000
1,1503577271.04,28.0000,0.4088,0.9146,39.2795,-26.0516,0.4089,0.9146,-0.0000,-0.0000
1,1503577271.394,29.0000,0.4089,0.9147,39.2952,-26.0589,0.4088,0.9147,0.0000,-0.0000
1,1503577271.751,30.0000,0.4090,0.9147,39.3227,-26.0810,0.4089,0.9148,-0.0000,0.0000
1,1503577272.133,31.0000,0.4090,0.9148,39.3459,-26.1053,0.4089,0.9148,0.0000,-0.0000
1,1503577272.509,32.0000,0.4091,0.9148,39.3554,-26.1233,0.4090,0.9149,-0.0000,0.0000
1,1503577272.904,33.0000,0.4091,0.9148,39.3504,-26.1320,0.4091,0.9149,-0.0000,0.0000
1,1503577273.258,34.0000,0.4091,0.9149,39.3364,-26.1325,0.4091,0.9149,-0.0000,-0.0000
1,1503577273.6,35.0000,0.4091,0.9149,39.3209,-26.1279,0.4091,0.9149,0.0000,0.0000
1,1503577273.959,36.0000,0.4090,0.9149,39.3101,-26.1214,0.4091,0.9149,-0.0000,0.0000
1,1503577274.369,37.0000,0.4090,0.9150,39.3068,-26.1153,0.4091,0.9149,0.0000,0.0000
1,1503577274.895,38.0000,0.4090,0.9150,39.3105,-26.1111,0.4090,0.9150,-0.0000,0.0000
