Id,Time,ADMM_IT,X_real,X_imag,Nu_real,Nu_imag,Z_real,Z_imag,P,Q
0,1512827073.275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,1512827073.647,1.0000,1.0000,0.0000,0.9453,-5.8740,0.9055,0.5874,0.5000,1.3284
0,1512827075.444,2.0000,1.0000,0.0000,1.1965,-7.4988,0.9749,0.1625,0.5000,1.9137
0,1512827077.174,3.0000,1.0000,0.0000,0.9242,-5.5856,1.0272,-0.1913,0.5000,1.8436
0,1512827082.202,4.0000,1.0000,0.0000,0.3964,-1.9364,1.0528,-0.3649,0.5000,1.7414
0,1512827112.703,5.0000,1.0000,0.0000,-0.3156,1.6263,1.0712,-0.3563,0.5000,1.6635
0,1512827112.959,6.0000,1.0000,0.0000,-1.0082,3.9961,1.0693,-0.2370,0.5000,1.3266
0,1512827113.177,7.0000,1.0000,0.0000,-1.4855,4.8374,1.0477,-0.0841,0.5000,0.8086
0,1512827113.483,8.0000,1.0000,0.0000,-1.6518,4.3896,1.0166,0.0448,0.5000,1.0406
0,1512827113.705,9.0000,1.0000,0.0000,-1.3640,3.1221,0.9712,0.1267,0.5000,1.3950
0,1512827113.93,10.0000,1.0000,0.0000,-0.6310,1.5755,0.9267,0.1547,0.5000,1.4885
0,1512827114.158,11.0000,1.0000,0.0000,0.3232,0.2044,0.9046,0.1371,0.5000,1.5431
0,1512827114.362,12.0000,1.0000,0.0000,1.2443,-0.7525,0.9079,0.0957,0.5000,1.5427
0,1512827114.592,13.0000,1.0000,0.0000,1.9858,-1.2615,0.9259,0.0509,0.5000,1.4829
0,1512827114.886,14.0000,1.0000,0.0000,2.5147,-1.4181,0.9471,0.0157,0.5000,1.1913
0,1512827115.159,15.0000,1.0000,0.0000,2.8637,-1.3588,0.9651,-0.0059,0.5000,0.8934
0,1512827115.468,16.0000,1.0000,0.0000,2.6490,-1.1098,1.0215,-0.0249,0.5000,-0.4013
0,1512827115.716,17.0000,1.0000,0.0000,1.9122,-0.6428,1.0737,-0.0467,0.5000,-0.4380
0,1512827115.963,18.0000,1.0000,0.0000,0.8265,-0.1004,1.1086,-0.0542,0.5000,-0.4686
0,1512827116.259,19.0000,1.0000,0.0000,-0.3143,0.3804,1.1141,-0.0481,0.5000,-0.4437
0,1512827116.469,20.0000,1.0000,0.0000,-1.2111,0.7193,1.0897,-0.0339,0.5000,0.2459
0,1512827310.195,21.0000,1.0000,0.0000,-1.6590,0.8816,1.0448,-0.0162,0.5000,0.7007
0,1512827310.398,22.0000,1.0000,0.0000,-1.6272,0.8758,0.9968,0.0006,0.5000,0.9913
0,1512827310.628,23.0000,1.0000,0.0000,-1.2555,0.7379,0.9628,0.0138,0.5000,0.9930
0,1512827310.861,24.0000,1.0000,0.0000,-0.7853,0.5168,0.9530,0.0221,0.5000,1.0016
0,1512827311.188,25.0000,1.0000,0.0000,-0.4306,0.2616,0.9645,0.0255,0.5000,0.9756
0,1512827311.415,26.0000,1.0000,0.0000,-0.2983,0.0055,0.9868,0.0256,0.5000,0.8073
0,1512827311.741,27.0000,1.0000,0.0000,-0.3948,-0.2393,1.0097,0.0245,0.5000,0.7100
0,1512827312.012,28.0000,1.0000,0.0000,-0.6459,-0.4735,1.0251,0.0234,0.5000,0.6419
0,1512827312.3,29.0000,1.0000,0.0000,-0.9413,-0.7046,1.0295,0.0231,0.5000,0.5911
0,1512827312.566,30.0000,1.0000,0.0000,-1.1854,-0.9393,1.0244,0.0235,0.5000,0.5407
0,1512827325.063,31.0000,1.0000,0.0000,-1.3282,-1.1796,1.0143,0.0240,0.5000,0.4775
0,1512827325.374,32.0000,1.0000,0.0000,-1.3675,-1.4228,1.0039,0.0243,0.5000,0.4028
0,1512827391.466,33.0000,1.0000,0.0000,-1.3331,-1.6633,0.9966,0.0240,0.5000,0.3250
0,1512827428.877,34.0000,1.0000,0.0000,-1.2644,-1.8953,0.9931,0.0232,0.5000,0.2511
0,1512827446.452,35.0000,1.0000,0.0000,-1.1935,-2.1147,0.9929,0.0219,0.5000,0.1822
0,1512827523.979,36.0000,1.0000,0.0000,-1.1405,-2.3197,0.9947,0.0205,0.5000,0.1138
0,1512827524.223,37.0000,1.0000,0.0000,-1.1247,-2.5144,0.9984,0.0195,0.5000,0.0423
0,1512827524.492,38.0000,1.0000,0.0000,-1.1509,-2.6996,1.0026,0.0185,0.5000,-0.0143
0,1512827524.777,39.0000,1.0000,0.0000,-1.2111,-2.8730,1.0060,0.0173,0.5000,-0.0538
0,1512827525.015,40.0000,1.0000,0.0000,-1.2928,-3.0345,1.0082,0.0162,0.5000,-0.0836
0,1512827525.302,41.0000,1.0000,0.0000,-1.3975,-3.1932,1.0105,0.0159,0.5000,-0.1053
0,1512827525.593,42.0000,1.0000,0.0000,-1.5190,-3.3593,1.0122,0.0166,0.5000,-0.1184
0,1512827525.878,43.0000,1.0000,0.0000,-1.6478,-3.5408,1.0129,0.0181,0.5000,-0.1235
0,1512827526.171,44.0000,1.0000,0.0000,-1.7729,-3.7411,1.0125,0.0200,0.5000,-0.1190
0,1512827526.408,45.0000,1.0000,0.0000,-1.8824,-3.9598,1.0110,0.0219,0.5000,-0.1085
0,1512827526.715,46.0000,1.0000,0.0000,-1.9666,-4.1917,1.0084,0.0232,0.5000,-0.0957
0,1512827526.997,47.0000,1.0000,0.0000,-2.0197,-4.4287,1.0053,0.0237,0.5000,-0.0868
0,1512827588.856,48.0000,1.0000,0.0000,-2.0406,-4.6612,1.0021,0.0233,0.5000,-0.0273
0,1512827599.684,49.0000,1.0000,0.0000,-2.0281,-4.8795,0.9988,0.0218,0.5000,0.0343
0,1512828366.534,50.0000,1.0000,0.0000,-1.9831,-5.0772,0.9955,0.0198,0.5000,0.0665
0,1512828366.798,51.0000,1.0000,0.0000,-1.9141,-5.2504,0.9931,0.0173,0.5000,0.0765
0,1512828372.307,52.0000,1.0000,0.0000,-1.8378,-5.3969,0.9924,0.0147,0.5000,0.0644
0,1512828372.578,53.0000,1.0000,0.0000,-1.7733,-5.5163,0.9936,0.0119,0.5000,0.0349
0,1512828372.877,54.0000,1.0000,0.0000,-1.7385,-5.6103,0.9965,0.0094,0.5000,-0.0074
0,1512828373.222,55.0000,1.0000,0.0000,-1.7460,-5.6823,1.0008,0.0072,0.5000,-0.0548
0,1512828460.498,56.0000,1.0000,0.0000,-1.8012,-5.7375,1.0055,0.0055,0.5000,-0.0973
0,1512828460.739,57.0000,1.0000,0.0000,-1.8996,-5.7823,1.0098,0.0045,0.5000,-0.1249
0,1512828461.067,58.0000,1.0000,0.0000,-2.0261,-5.8237,1.0127,0.0041,0.5000,-0.1302
0,1512828461.332,59.0000,1.0000,0.0000,-2.1604,-5.8678,1.0134,0.0044,0.5067,-0.1148
0,1512828461.723,60.0000,1.0000,0.0000,-2.2818,-5.9174,1.0121,0.0050,0.6719,-0.0796
0,1512828462.154,61.0000,1.0000,0.0000,-2.3711,-5.9561,1.0089,0.0039,0.7596,-0.0293
0,1512828462.519,62.0000,1.0000,0.0000,-2.4240,-5.9662,1.0053,0.0010,0.8331,0.0052
0,1512828462.998,63.0000,1.0000,0.0000,-2.4473,-5.9425,1.0023,-0.0024,0.8748,0.0481
0,1512828463.446,64.0000,1.0000,0.0000,-2.4524,-5.8909,1.0005,-0.0052,0.9088,0.0946
0,1512828463.897,65.0000,1.0000,0.0000,-2.4482,-5.8221,0.9996,-0.0069,0.9327,0.1478
0,1512828464.247,66.0000,1.0000,0.0000,-2.4391,-5.7463,0.9991,-0.0076,0.9470,0.2029
0,1512828464.713,67.0000,1.0000,0.0000,-2.4251,-5.6709,0.9986,-0.0075,0.9463,0.2601
0,1512828465.051,68.0000,1.0000,0.0000,-2.4035,-5.5998,0.9978,-0.0071,0.9293,0.3176
0,1512828465.557,69.0000,1.0000,0.0000,-2.3709,-5.5348,0.9967,-0.0065,0.8943,0.3746
0,1512828466.029,70.0000,1.0000,0.0000,-2.3244,-5.4767,0.9954,-0.0058,0.8428,0.4304
0,1512828466.609,71.0000,1.0000,0.0000,-2.2626,-5.4260,0.9938,-0.0051,0.7744,0.4835
0,1512828466.966,72.0000,1.0000,0.0000,-2.1857,-5.3833,0.9923,-0.0043,0.6900,0.5312
0,1512828467.378,73.0000,1.0000,0.0000,-2.0950,-5.3495,0.9909,-0.0034,0.5905,0.5722
0,1512828467.715,74.0000,1.0000,0.0000,-1.9954,-5.3262,0.9900,-0.0023,0.5000,0.6046
0,1512828468.034,75.0000,1.0000,0.0000,-1.8945,-5.3133,0.9899,-0.0013,0.5000,0.6264
0,1512828468.465,76.0000,1.0000,0.0000,-1.7988,-5.2998,0.9904,-0.0013,0.5000,0.6366
0,1512828468.722,77.0000,1.0000,0.0000,-1.7160,-5.2712,0.9917,-0.0029,0.5000,0.6262
0,1512828469.071,78.0000,1.0000,0.0000,-1.6535,-5.2191,0.9937,-0.0052,0.5000,0.6073
0,1512828469.387,79.0000,1.0000,0.0000,-1.6150,-5.1434,0.9961,-0.0076,0.5000,0.5867
0,1512828469.664,80.0000,1.0000,0.0000,-1.5992,-5.0500,0.9984,-0.0093,0.5000,0.5693
0,1512828469.937,81.0000,1.0000,0.0000,-1.6005,-4.9483,1.0001,-0.0102,0.5000,0.5596
0,1512828470.235,82.0000,1.0000,0.0000,-1.6101,-4.8477,1.0010,-0.0101,0.5000,0.5592
