Id,Time,ADMM_IT,X_real,X_imag,Nu_real,Nu_imag,Z_real,Z_imag,P,Q
3,1512437744.157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1512437744.592,1.0000,0.7860,0.7696,2.5883,-2.5911,0.7756,0.7799,-0.0000,0.5386
3,1512437745.821,2.0000,0.8290,0.5088,9.5152,-40.0081,0.8013,0.6585,3.1800,1.0000
3,1512437747.3,3.0000,0.8515,0.2915,14.6684,-81.0941,0.8309,0.4558,3.1800,-0.5800
3,1512437749.873,4.0000,0.8921,0.1192,18.1795,-108.7074,0.8780,0.2296,3.1800,-1.0000
3,1512437749.996,5.0000,0.8998,-0.0182,15.3000,-118.9282,0.9113,0.0227,3.1800,-1.0000
3,1512437750.129,6.0000,0.8931,-0.1111,9.0350,-111.6326,0.9182,-0.1403,3.1800,-1.0000
3,1512437750.301,7.0000,0.9127,-0.1687,8.9473,-91.3247,0.9131,-0.2499,3.1800,-1.0000
3,1512437750.483,8.0000,0.9192,-0.1915,11.4790,-63.1590,0.9091,-0.3042,3.1800,-1.0000
3,1512437767.98,9.0000,0.9028,-0.2411,10.5281,-41.7279,0.9066,-0.3269,0.0000,-1.0000
3,1512437768.184,10.0000,0.9092,-0.2186,9.2585,-18.8471,0.9143,-0.3101,0.0000,-1.0000
3,1512437768.396,11.0000,0.9145,-0.2059,6.7201,-2.1715,0.9246,-0.2726,-0.0000,-1.0000
3,1512437768.647,12.0000,0.9250,-0.1957,4.3890,6.8945,0.9343,-0.2320,-0.0000,-0.5620
3,1512437768.847,13.0000,0.9458,-0.1851,4.2706,9.5988,0.9463,-0.1959,0.0000,0.5765
3,1512437769.066,14.0000,0.9540,-0.1670,3.6115,9.0055,0.9566,-0.1647,-0.0000,0.8910
3,1512437769.295,15.0000,0.9594,-0.1492,2.3837,6.4305,0.9643,-0.1389,-0.0000,1.0000
3,1512437795.64,16.0000,0.9634,-0.1311,0.7465,3.1283,0.9700,-0.1179,-0.0000,1.0000
3,1512437798.612,17.0000,0.9672,-0.1137,-1.0027,-0.1615,0.9742,-0.1005,-0.0000,1.0000
3,1512437798.82,18.0000,0.9695,-0.1015,-2.7752,-3.4685,0.9766,-0.0883,-0.0000,1.0000
3,1512437800.838,19.0000,0.9718,-0.0883,-4.3502,-5.9843,0.9781,-0.0782,-0.0000,1.0000
3,1512437801.034,20.0000,0.9734,-0.0762,-5.7127,-7.8951,0.9789,-0.0686,-0.0000,1.0000
3,1512437801.251,21.0000,0.9746,-0.0650,-6.8968,-9.4799,0.9793,-0.0587,-0.0000,1.0000
3,1512437801.467,22.0000,0.9754,-0.0544,-7.9402,-10.9922,0.9796,-0.0484,-0.0000,1.0000
3,1512437801.704,23.0000,0.9760,-0.0442,-8.8787,-12.6761,0.9797,-0.0375,-0.0000,1.0000
3,1512437801.919,24.0000,0.9764,-0.0346,-9.7334,-14.7756,0.9798,-0.0262,0.0000,1.0000
3,1512437802.133,25.0000,0.9767,-0.0259,-10.5301,-17.5066,0.9799,-0.0150,-0.0000,1.0000
3,1512437802.368,26.0000,0.9769,-0.0186,-11.2976,-21.0071,0.9799,-0.0046,-0.0000,1.0000
3,1512437802.578,27.0000,0.9769,-0.0129,-12.0689,-25.2974,0.9800,0.0043,-0.0000,1.0000
3,1512437802.776,28.0000,0.9768,-0.0091,-12.8758,-30.2695,0.9801,0.0108,-0.0000,1.0000
