Id,Time,ADMM_IT,X_real,X_imag,Nu_real,Nu_imag,Z_real,Z_imag,P,Q
1,1512519839.448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1512519840.183,1.0000,1.0000,0.0000,36.8723,-129.4774,0.8525,0.5179,-0.0500,0.1500
1,1512519840.984,2.0000,1.0000,0.0000,45.1725,-162.8840,0.9668,0.1336,-0.0500,0.1500
1,1512519907.287,3.0000,1.0000,0.0000,34.9303,-115.2351,1.0410,-0.1906,-0.0500,0.1500
1,1512519909.049,4.0000,1.0000,0.0000,36.4819,-35.7507,0.9938,-0.3179,-0.0500,0.1500
1,1512519909.893,5.0000,1.0000,0.0000,38.3657,44.3931,0.9925,-0.3206,-0.0500,0.1500
1,1512519911.199,6.0000,1.0000,0.0000,32.2351,105.4281,1.0245,-0.2441,-0.0500,0.1500
1,1512519913.026,7.0000,1.0000,0.0000,19.7061,137.3306,1.0501,-0.1276,-0.0500,0.1500
1,1512519914.351,8.0000,1.0000,0.0000,4.8725,141.0053,1.0593,-0.0147,-0.0500,0.1500
1,1512519916.262,9.0000,1.0000,0.0000,-9.9371,125.3458,1.0592,0.0626,-0.0500,0.1500
1,1512519920.575,10.0000,1.0000,0.0000,-22.5098,101.8400,1.0503,0.0940,-0.0500,0.1500
1,1512519922.173,11.0000,1.0000,0.0000,-33.6572,80.1182,1.0446,0.0869,-0.0500,0.1500
1,1512519924.055,12.0000,1.0000,0.0000,-45.0698,65.8168,1.0457,0.0572,-0.0500,0.1500
1,1512519925.793,13.0000,1.0000,0.0000,-54.8430,60.7481,1.0391,0.0203,-0.0500,0.1500
1,1512519927.664,14.0000,1.0000,0.0000,-61.5250,63.1542,1.0267,-0.0096,-0.0500,0.1500
1,1512519929.384,15.0000,1.0000,0.0000,-65.2471,69.4334,1.0149,-0.0251,-0.0500,0.1500
1,1512519930.991,16.0000,1.0000,0.0000,-66.9588,76.0152,1.0068,-0.0263,-0.0500,0.1500
1,1512519932.466,17.0000,1.0000,0.0000,-67.7856,80.5910,1.0033,-0.0183,-0.0500,0.1500
1,1512519934.145,18.0000,1.0000,0.0000,-68.7049,82.4301,1.0037,-0.0074,-0.0500,0.1500
1,1512519935.415,19.0000,1.0000,0.0000,-70.3676,82.0059,1.0067,0.0017,-0.0500,0.1500
1,1512519936.767,20.0000,1.0000,0.0000,-72.8477,80.4467,1.0099,0.0062,-0.0500,0.1500
1,1512519937.974,21.0000,1.0000,0.0000,-75.8005,78.9920,1.0118,0.0058,-0.0500,0.1500
1,1512519939.439,22.0000,1.0000,0.0000,-78.7640,78.4742,1.0119,0.0021,-0.0500,0.1500
1,1512519940.813,23.0000,1.0000,0.0000,-81.3518,79.0784,1.0104,-0.0024,-0.0500,0.1500
1,1512519942.122,24.0000,1.0000,0.0000,-83.3183,80.3699,1.0079,-0.0052,-0.0500,0.1500
1,1512519944.032,25.0000,1.0000,0.0000,-84.4056,81.7141,1.0044,-0.0054,-0.0500,0.1500
1,1512519944.953,26.0000,1.0000,0.0000,-84.5191,82.5396,1.0005,-0.0033,-0.0500,0.1500
1,1512519946.165,27.0000,1.0000,0.0000,-83.8113,82.5106,0.9972,0.0001,-0.0500,0.1500
1,1512519947.323,28.0000,1.0000,0.0000,-82.6575,81.5797,0.9954,0.0037,-0.0500,0.1500
1,1512519948.359,29.0000,1.0000,0.0000,-81.3311,79.9664,0.9947,0.0065,-0.0500,0.1500
1,1512519949.739,30.0000,1.0000,0.0000,-79.9878,78.0220,0.9946,0.0078,-0.0500,0.1500
1,1512519950.829,31.0000,1.0000,0.0000,-78.6139,76.1055,0.9945,0.0077,-0.0500,0.1500
1,1512519952.277,32.0000,1.0000,0.0000,-77.1132,74.4802,0.9940,0.0065,-0.0500,0.1500
1,1512519953.585,33.0000,1.0000,0.0000,-75.2308,73.2889,0.9925,0.0048,-0.0500,0.1500
1,1512519954.654,34.0000,1.0000,0.0000,-72.9457,72.5712,0.9909,0.0029,-0.0500,0.1500
1,1512519955.899,35.0000,1.0000,0.0000,-70.2949,72.3539,0.9894,0.0009,-0.0500,0.1500
1,1512519957.252,36.0000,1.0000,0.0000,-67.4479,72.6410,0.9886,-0.0011,-0.0500,0.1500
1,1512519958.693,37.0000,1.0000,0.0000,-64.5479,73.4106,0.9884,-0.0031,-0.0500,0.1500
1,1512519959.76,38.0000,1.0000,0.0000,-61.7808,74.6149,0.9889,-0.0048,-0.0500,0.1500
1,1512519961.296,39.0000,1.0000,0.0000,-59.2660,76.1921,0.9899,-0.0063,-0.0500,0.1500
1,1512519962.452,40.0000,1.0000,0.0000,-57.0869,78.0737,0.9913,-0.0075,-0.0500,0.1500
1,1512519963.961,41.0000,1.0000,0.0000,-55.2092,80.1982,0.9925,-0.0085,-0.0500,0.1500
1,1512519965.312,42.0000,1.0000,0.0000,-53.5663,82.5014,0.9934,-0.0092,-0.0500,0.1500
1,1512519966.706,43.0000,1.0000,0.0000,-52.0688,84.8953,0.9940,-0.0096,-0.0500,0.1500
1,1512519967.868,44.0000,1.0000,0.0000,-50.6967,87.2754,0.9945,-0.0095,-0.0500,0.1500
1,1512519968.955,45.0000,1.0000,0.0000,-49.4078,89.5252,0.9948,-0.0090,-0.0500,0.1500
1,1512519970.45,46.0000,1.0000,0.0000,-48.2607,91.5389,0.9954,-0.0081,-0.0500,0.1500
1,1512519971.976,47.0000,1.0000,0.0000,-47.2201,93.2468,0.9958,-0.0068,-0.0500,0.1500
1,1512519973.478,48.0000,1.0000,0.0000,-46.3311,94.5925,0.9964,-0.0054,-0.0500,0.1500
1,1512519975.221,49.0000,1.0000,0.0000,-45.5248,95.5630,0.9968,-0.0039,-0.0500,0.1500
1,1512519976.739,50.0000,1.0000,0.0000,-44.7656,96.1697,0.9970,-0.0024,-0.0500,0.1500
1,1512519978.077,51.0000,1.0000,0.0000,-43.9616,96.4505,0.9968,-0.0011,-0.0500,0.1500
1,1512519979.531,52.0000,1.0000,0.0000,-43.2117,96.4511,0.9970,-0.0000,-0.0500,0.1500
1,1512519981.851,53.0000,1.0000,0.0000,-42.5205,96.1838,0.9972,0.0011,-0.0500,0.1500
1,1512519982.588,54.0000,1.0000,0.0000,-41.8354,95.6956,0.9973,0.0020,-0.0500,0.1500
1,1512519984.209,55.0000,1.0000,0.0000,-41.1260,95.0478,0.9972,0.0026,-0.0500,0.1500
1,1512519985.209,56.0000,1.0000,0.0000,-40.3577,94.3030,0.9969,0.0030,-0.0500,0.1500
1,1512519986.733,57.0000,1.0000,0.0000,-39.5032,93.5226,0.9966,0.0031,-0.0500,0.1500
1,1512519988.071,58.0000,1.0000,0.0000,-38.5504,92.7597,0.9962,0.0031,-0.0500,0.1500
1,1512519989.615,59.0000,1.0000,0.0000,-37.5248,92.0672,0.9959,0.0028,-0.0500,0.1500
1,1512519990.913,60.0000,1.0000,0.0000,-36.3907,91.4698,0.9955,0.0024,-0.0500,0.1500
1,1512519992.38,61.0000,1.0000,0.0000,-35.1530,90.9872,0.9950,0.0019,-0.0500,0.1500
1,1512519993.736,62.0000,1.0000,0.0000,-33.8275,90.6261,0.9947,0.0014,-0.0500,0.1500
1,1512519995.016,63.0000,1.0000,0.0000,-32.4114,90.3805,0.9943,0.0010,-0.0500,0.1500
1,1512519996.548,64.0000,1.0000,0.0000,-30.9378,90.2321,0.9941,0.0006,-0.0500,0.1500
1,1512519997.855,65.0000,1.0000,0.0000,-29.4153,90.1588,0.9939,0.0003,-0.0500,0.1500
1,1512519999.094,66.0000,1.0000,0.0000,-27.8497,90.1313,0.9937,0.0001,-0.0500,0.1500
1,1512520000.587,67.0000,1.0000,0.0000,-26.2539,90.1224,0.9936,0.0000,-0.0500,0.1500
1,1512520002.06,68.0000,1.0000,0.0000,-24.6561,90.0903,0.9936,0.0001,-0.0500,0.1500
1,1512520003.584,69.0000,1.0000,0.0000,-23.0908,90.0055,0.9937,0.0003,-0.0500,0.1500
1,1512520004.776,70.0000,1.0000,0.0000,-21.5814,89.8461,0.9940,0.0006,-0.0500,0.1500
1,1512520006.124,71.0000,1.0000,0.0000,-20.2720,89.5688,0.9948,0.0011,-0.0500,0.1500
1,1512520007.248,72.0000,1.0000,0.0000,-19.2380,89.1513,0.9959,0.0017,-0.0500,0.1500
1,1512520008.511,73.0000,1.0000,0.0000,-18.4733,88.6017,0.9969,0.0022,-0.0500,0.1500
1,1512520009.721,74.0000,1.0000,0.0000,-17.9409,87.9529,0.9979,0.0026,-0.0500,0.1500
1,1512520011.033,75.0000,1.0000,0.0000,-17.6106,87.2512,0.9987,0.0028,-0.0500,0.1500
1,1512520012.323,76.0000,1.0000,0.0000,-17.4664,86.5401,0.9994,0.0028,-0.0500,0.1500
1,1512520014.041,77.0000,1.0000,0.0000,-17.5006,85.8510,1.0001,0.0028,-0.0500,0.1500
1,1512520015.301,78.0000,1.0000,0.0000,-17.7007,85.1994,1.0008,0.0026,-0.0500,0.1500
1,1512520016.833,79.0000,1.0000,0.0000,-18.0555,84.5901,1.0014,0.0024,-0.0500,0.1500
1,1512520017.955,80.0000,1.0000,0.0000,-18.5371,84.0178,1.0019,0.0023,-0.0500,0.1500
1,1512520019.364,81.0000,1.0000,0.0000,-19.1047,83.4763,1.0023,0.0022,-0.0500,0.1500
1,1512520020.841,82.0000,1.0000,0.0000,-19.7241,82.9582,1.0025,0.0021,-0.0500,0.1500
1,1512520022.285,83.0000,1.0000,0.0000,-20.3615,82.4559,1.0026,0.0020,-0.0500,0.1500
1,1512520024.145,84.0000,1.0000,0.0000,-20.9880,81.9603,1.0025,0.0020,-0.0500,0.1500
1,1512520025.55,85.0000,1.0000,0.0000,-21.5803,81.4614,1.0024,0.0020,-0.0500,0.1500
1,1512520061.311,86.0000,1.0000,0.0000,-22.1223,80.9461,1.0022,0.0021,-0.0500,0.1500
1,1512520062.123,87.0000,1.0000,0.0000,-22.6057,80.3973,1.0019,0.0022,-0.0500,0.1500
1,1512520093.724,88.0000,1.0000,0.0000,-23.0252,79.7968,1.0017,0.0024,-0.0500,0.1500
1,1512520094.308,89.0000,1.0000,0.0000,-23.3817,79.1249,1.0014,0.0027,-0.0500,0.1500
1,1512520095.58,90.0000,1.0000,0.0000,-23.6742,78.3640,1.0012,0.0030,-0.0500,0.1500
1,1512520097.164,91.0000,1.0000,0.0000,-23.9057,77.5005,1.0009,0.0035,-0.0500,0.1500
1,1512520098.866,92.0000,1.0000,0.0000,-24.0807,76.5242,1.0007,0.0039,-0.0500,0.1500
1,1512520100.409,93.0000,1.0000,0.0000,-24.2053,75.4320,1.0005,0.0044,-0.0500,0.1500
1,1512520102.073,94.0000,1.0000,0.0000,-24.2866,74.2247,1.0003,0.0048,-0.0500,0.1500
1,1512520103.504,95.0000,1.0000,0.0000,-24.3298,72.9066,1.0002,0.0053,-0.0500,0.1500
1,1512520105.529,96.0000,1.0000,0.0000,-24.3390,71.4874,1.0000,0.0057,-0.0500,0.1500
1,1512520107.436,97.0000,1.0000,0.0000,-24.3225,69.9780,0.9999,0.0060,-0.0500,0.1500
1,1512520109.143,98.0000,1.0000,0.0000,-24.2817,68.3925,0.9998,0.0063,-0.0500,0.1500
1,1512520110.702,99.0000,1.0000,0.0000,-24.2138,66.7462,0.9997,0.0066,-0.0500,0.1500
1,1512520112.41,100.0000,1.0000,0.0000,-24.1126,65.0545,0.9996,0.0068,-0.0500,0.1500
1,1512520114.286,101.0000,1.0000,0.0000,-23.9711,63.3330,0.9994,0.0069,-0.0500,0.1500
1,1512520115.914,102.0000,1.0000,0.0000,-23.7847,61.5960,0.9993,0.0069,-0.0500,0.1500
1,1512520117.682,103.0000,1.0000,0.0000,-23.5464,59.8562,0.9990,0.0070,-0.0500,0.1500
1,1512520119.43,104.0000,1.0000,0.0000,-23.2561,58.1244,0.9988,0.0069,-0.0500,0.1500
1,1512520121.267,105.0000,1.0000,0.0000,-22.9141,56.4093,0.9986,0.0069,-0.0500,0.1500
1,1512520122.849,106.0000,1.0000,0.0000,-22.5234,54.7164,0.9984,0.0068,-0.0500,0.1500
1,1512520124.347,107.0000,1.0000,0.0000,-22.0874,53.0493,0.9983,0.0067,-0.0500,0.1500
1,1512520125.949,108.0000,1.0000,0.0000,-21.6107,51.4087,0.9981,0.0066,-0.0500,0.1500
1,1512520127.529,109.0000,1.0000,0.0000,-21.1053,49.7940,0.9980,0.0065,-0.0500,0.1500
1,1512520129.372,110.0000,1.0000,0.0000,-20.5847,48.2042,0.9979,0.0064,-0.0500,0.1500
1,1512520130.642,111.0000,1.0000,0.0000,-20.0609,46.6361,0.9979,0.0063,-0.0500,0.1500
1,1512520483.721,112.0000,1.0000,0.0000,-19.5480,45.0885,0.9979,0.0062,-0.0500,0.1500
